Ids,Sentiment,Sarcasm,Vulgar,Abuse,Target
Hindi_image_1817.jpg,Neutral,Sarcastic,Vulgar,Abusive,Gender
Hindi_image_7.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Gender
Hindi_image_1.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Gender
Hindi_image_32.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender
Hindi_image_1714.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Gender
Hindi_image_295.jpg,Positive,Sarcastic,Vulgar,Abusive,Gender
Hindi_image_34.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Gender
Hindi_image_21.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender
Hindi_image_1910.jpg,Positive,Sarcastic,Vulgar,Abusive,Gender
Hindi_image_119.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender
Hindi_image_677.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Gender
Hindi_image_118.jpg,Neutral,Non-Sarcastic,Vulgar,Abusive,Gender
Hindi_image_9.jpg,Positive,Non-Sarcastic,Vulgar,Abusive,Gender
Hindi_image_100.jpg,Neutral,Sarcastic,Vulgar,Abusive,Gender
Hindi_image_261.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender
Hindi_image_8.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Gender
Hindi_image_838.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Gender
Hindi_image_141.jpg,Neutral,Sarcastic,Non Vulgar,Abusive,Gender
Hindi_image_29.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender
Hindi_image_163.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Gender
Hindi_image_1379.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Gender
Hindi_image_549.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender
Hindi_image_138.jpg,Positive,Non-Sarcastic,Vulgar,Abusive,Gender
Hindi_image_2271.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Gender
Hindi_image_123.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Gender
Hindi_image_26.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender
Hindi_image_1781.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender
Hindi_image_39.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender
Hindi_image_2297.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Gender
Hindi_image_28.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender
Hindi_image_2366.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Gender
Hindi_image_157.jpg,Neutral,Non-Sarcastic,Vulgar,Abusive,Gender
Hindi_image_177.jpg,Neutral,Non-Sarcastic,Vulgar,Abusive,Gender
Hindi_image_2127.jpg,Positive,Sarcastic,Vulgar,Abusive,Gender
Hindi_image_456.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Gender
Hindi_image_5.jpg,Positive,Sarcastic,Vulgar,Abusive,Gender
Hindi_image_30.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender
Hindi_image_120.jpg,Neutral,Sarcastic,Vulgar,Abusive,Gender
Hindi_image_868.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
Hindi_image_450.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
Hindi_image_2312.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1751.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1622.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1123.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
Hindi_image_1088.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_2293.jpg,Neutral,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1149.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1362.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
Hindi_image_2314.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1138.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_15.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
Hindi_image_2007.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_942.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1913.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
Hindi_image_1791.jpg,Neutral,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_2306.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_2355.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1941.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_930.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
Hindi_image_1323.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1348.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
Hindi_image_516.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_2358.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_264.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
Hindi_image_771.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
Hindi_image_1784.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_2338.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_2349.jpg,Neutral,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_911.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_2340.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1187.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_958.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_2207.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1173.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
Hindi_image_1576.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
Hindi_image_1519.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
Hindi_image_2377.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1452.jpg,Neutral,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1369.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
Hindi_image_1380.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_2346.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_132.jpg,Positive,Non-Sarcastic,Vulgar,Abusive,Individual
Hindi_image_1111.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_2330.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1272.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_2014.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1971.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1178.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1145.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1141.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1264.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1607.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
Hindi_image_2292.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1303.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1386.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1213.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1090.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
Hindi_image_226.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_2336.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_952.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1332.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
Hindi_image_2359.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1359.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_907.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_854.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_2043.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_2289.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1495.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
Hindi_image_2304.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1490.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_813.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1370.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1188.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_221.jpg,Neutral,Sarcastic,Vulgar,Abusive,Individual
Hindi_image_2368.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_935.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
Hindi_image_786.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
Hindi_image_1148.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_212.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
Hindi_image_2342.jpg,Neutral,Non-Sarcastic,Vulgar,Abusive,Individual
Hindi_image_850.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1249.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
Hindi_image_2323.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_2299.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
Hindi_image_1520.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
Hindi_image_1292.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1183.jpg,Positive,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1205.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
Hindi_image_1384.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_2313.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1147.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1025.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_2302.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1416.jpg,Neutral,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_2318.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1045.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_247.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
Hindi_image_830.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
Hindi_image_970.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1942.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1570.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
Hindi_image_2319.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1107.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_866.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1676.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1278.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_2288.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1207.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_2394.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_646.jpg,Neutral,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_2329.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1271.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
Hindi_image_1723.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
Hindi_image_1215.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1373.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_2128.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1344.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1276.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_2294.jpg,Neutral,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1629.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
Hindi_image_2392.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1503.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
Hindi_image_1387.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1354.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_406.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
Hindi_image_1582.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
Hindi_image_1733.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
Hindi_image_1621.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1335.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_236.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1611.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
Hindi_image_1024.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_2291.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
Hindi_image_2384.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1750.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_2077.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
Hindi_image_1352.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
Hindi_image_250.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
Hindi_image_1270.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
Hindi_image_1182.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
Hindi_image_1860.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,National Origin
Hindi_image_430.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,National Origin
Hindi_image_2396.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,National Origin
Hindi_image_1007.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,National Origin
Hindi_image_2397.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,National Origin
Hindi_image_1086.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,National Origin
Hindi_image_225.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,
Hindi_image_1003.jpg,Negative,Sarcastic,Non Vulgar,Abusive,
Hindi_image_2260.jpg,Positive,Sarcastic,Non Vulgar,Abusive,
Hindi_image_1192.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,
Hindi_image_1758.jpg,Neutral,Non-Sarcastic,Vulgar,Abusive,
Hindi_image_871.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,
Hindi_image_1589.jpg,Negative,Sarcastic,Vulgar,Abusive,
Hindi_image_2351.jpg,Negative,Sarcastic,Non Vulgar,Abusive,
Hindi_image_2050.jpg,Neutral,Sarcastic,Non Vulgar,Abusive,
Hindi_image_2374.jpg,Negative,Sarcastic,Non Vulgar,Abusive,
Hindi_image_2357.jpg,Neutral,Sarcastic,Vulgar,Abusive,
Hindi_image_2376.jpg,Positive,Sarcastic,Non Vulgar,Abusive,
Hindi_image_1058.jpg,Negative,Sarcastic,Non Vulgar,Abusive,
Hindi_image_2100.jpg,Negative,Sarcastic,Vulgar,Abusive,
Hindi_image_937.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,
Hindi_image_2348.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,
Hindi_image_918.jpg,Neutral,Non-Sarcastic,Non Vulgar,Abusive,
Hindi_image_2354.jpg,Negative,Sarcastic,Non Vulgar,Abusive,
Hindi_image_1018.jpg,Negative,Sarcastic,Non Vulgar,Abusive,
Hindi_image_1613.jpg,Negative,Sarcastic,Non Vulgar,Abusive,
Hindi_image_2344.jpg,Negative,Sarcastic,Non Vulgar,Abusive,
Hindi_image_1780.jpg,Negative,Sarcastic,Non Vulgar,Abusive,
Hindi_image_60.jpg,Positive,Sarcastic,Vulgar,Abusive,
Hindi_image_2345.jpg,Positive,Non-Sarcastic,Non Vulgar,Abusive,
Hindi_image_1956.jpg,Negative,Sarcastic,Vulgar,Abusive,
Hindi_image_231.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,
Hindi_image_1760.jpg,Neutral,Sarcastic,Non Vulgar,Abusive,
Hindi_image_1564.jpg,Negative,Sarcastic,Non Vulgar,Abusive,
Hindi_image_1015.jpg,Negative,Sarcastic,Non Vulgar,Abusive,
Hindi_image_2347.jpg,Negative,Sarcastic,Non Vulgar,Abusive,
Hindi_image_387.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,
Hindi_image_2350.jpg,Negative,Sarcastic,Non Vulgar,Abusive,
Hindi_image_884.jpg,Negative,Sarcastic,Non Vulgar,Abusive,
Hindi_image_910.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,
Hindi_image_243.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,
Hindi_image_1131.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,
Hindi_image_2114.jpg,Negative,Sarcastic,Non Vulgar,Abusive,
Hindi_image_1122.jpg,Negative,Sarcastic,Non Vulgar,Abusive,
Hindi_image_2389.jpg,Positive,Sarcastic,Non Vulgar,Abusive,
Hindi_image_888.jpg,Negative,Sarcastic,Vulgar,Abusive,
Hindi_image_934.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,
Hindi_image_1550.jpg,Negative,Sarcastic,Vulgar,Abusive,
Hindi_image_1031.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,
Hindi_image_182.jpg,Neutral,Non-Sarcastic,Vulgar,Abusive,
Hindi_image_870.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,
Hindi_image_464.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,
Hindi_image_2371.jpg,Positive,Sarcastic,Non Vulgar,Abusive,
Hindi_image_1534.jpg,Positive,Sarcastic,Non Vulgar,Abusive,
Hindi_image_2388.jpg,Negative,Sarcastic,Non Vulgar,Abusive,
Hindi_image_1078.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,
Hindi_image_1017.jpg,Negative,Sarcastic,Non Vulgar,Abusive,
Hindi_image_170.jpg,Neutral,Non-Sarcastic,Vulgar,Abusive,
Hindi_image_1047.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Others
Hindi_image_14.jpg,Negative,Sarcastic,Vulgar,Abusive,Others
Hindi_image_564.jpg,Positive,Non-Sarcastic,Vulgar,Abusive,Others
Hindi_image_976.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Others
Hindi_image_948.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Others
Hindi_image_53.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Others
Hindi_image_1720.jpg,Negative,Sarcastic,Vulgar,Abusive,Others
Hindi_image_1339.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Others
Hindi_image_334.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Others
Hindi_image_865.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Others
Hindi_image_309.jpg,Neutral,Non-Sarcastic,Vulgar,Abusive,Others
Hindi_image_1484.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Others
Hindi_image_968.jpg,Negative,Sarcastic,Vulgar,Abusive,Others
Hindi_image_939.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Others
Hindi_image_616.jpg,Negative,Sarcastic,Vulgar,Abusive,Others
Hindi_image_2011.jpg,Negative,Sarcastic,Vulgar,Abusive,Others
Hindi_image_2268.jpg,Negative,Sarcastic,Vulgar,Abusive,Others
Hindi_image_2328.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Others
Hindi_image_876.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Others
Hindi_image_889.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Others
Hindi_image_1872.jpg,Negative,Sarcastic,Vulgar,Abusive,Others
Hindi_image_877.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Others
Hindi_image_2305.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Others
Hindi_image_194.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Others
Hindi_image_2322.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Others
Hindi_image_797.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Others
Hindi_image_2267.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Others
Hindi_image_88.jpg,Positive,Sarcastic,Vulgar,Abusive,Others
Hindi_image_571.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Others
Hindi_image_205.jpg,Negative,Sarcastic,Vulgar,Abusive,Others
Hindi_image_94.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Others
Hindi_image_1701.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Others
Hindi_image_180.jpg,Positive,Sarcastic,Vulgar,Abusive,Others
Hindi_image_25.jpg,Negative,Sarcastic,Vulgar,Abusive,Others
Hindi_image_1807.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Others
Hindi_image_975.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Others
Hindi_image_369.jpg,Negative,Sarcastic,Vulgar,Abusive,Political
Hindi_image_2364.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Political
Hindi_image_220.jpg,Negative,Sarcastic,Vulgar,Abusive,Political
Hindi_image_2367.jpg,Neutral,Non-Sarcastic,Non Vulgar,Abusive,Political
Hindi_image_2341.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Political
Hindi_image_351.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Religion
Hindi_image_1343.jpg,Neutral,Sarcastic,Non Vulgar,Abusive,Social Sub-groups
Hindi_image_1692.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Social Sub-groups
Hindi_image_1842.jpg,Negative,Sarcastic,Vulgar,Abusive,Social Sub-groups
Hindi_image_1844.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Social Sub-groups
Hindi_image_892.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Social Sub-groups
Hindi_image_1914.jpg,Negative,Sarcastic,Vulgar,Abusive,Social Sub-groups
Hindi_image_919.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Social Sub-groups
Hindi_image_2112.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Social Sub-groups
Hindi_image_1566.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Social Sub-groups
Hindi_image_903.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Social Sub-groups
Hindi_image_1979.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Social Sub-groups
Hindi_image_1982.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Social Sub-groups
Hindi_image_2361.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Social Sub-groups
Hindi_image_1875.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Social Sub-groups
Hindi_image_1974.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Social Sub-groups
